round,rmse_val,rmse_train,mae_val,mae_train
34,8.40982816248554,8.51547013884474,6.450283065507661,6.568545474997889
35,8.364761544601853,8.471847372001415,6.412492290374412,6.531163614218345
36,8.330231548812229,8.444592406133829,6.442174083132885,6.567333170745522
37,8.283320926463634,8.395945336561242,6.355519868504165,6.477416734634463
38,8.280411315142805,8.38800905680753,6.371311391609039,6.489652319984552
39,8.226250593654967,8.331928220746624,6.293212756833748,6.4065422546902
40,8.172092610070504,8.287654679412615,6.3723746525351315,6.491084581668988
41,8.121808058170474,8.229617361939976,6.266876929578113,6.378898017279678
42,8.10638320805959,8.206729391466833,6.2342498819054795,6.339641848237362
43,8.058858470032105,8.16943936472609,6.295342875669825,6.40681927895308
44,8.039224048718872,8.14022788421343,6.178654863549296,6.281374063824389
45,8.033585809917646,8.131525547559148,6.159816427439993,6.2608755123069235
46,8.02480827845243,8.117226617882206,6.11792485373683,6.214227587393954
47,7.955430323614999,8.05772614229665,6.1629654914967125,6.2657781383401465
48,7.926898782998743,8.026867931940233,6.113144906595051,6.2125259463004525
49,7.890355138115154,7.994553346124297,6.163266122542077,6.261495477554938
50,8.005099485350055,8.086296687126469,6.01176201818153,6.094759893639183
51,7.897624433829675,7.986436374297489,6.017611811294272,6.104902470673338
52,7.849164272148022,7.9421013762752475,6.007715441095806,6.096211286618479
53,7.838984280765449,7.930501343157195,6.0147113568298955,6.102316734742056
54,7.834930325558833,7.9231120875214165,5.97615632920432,6.062542479375029
55,7.784602091631889,7.87694340976191,5.980956559028643,6.067898725833977
56,7.971002293979241,8.038597364615121,5.926702698616897,5.992316896772042
57,7.938450080357608,8.00475779984397,5.9131307639344355,5.979168118108485
58,7.796588091596379,7.872989209142556,5.924529182787,5.998604015937075
59,7.705642635567507,7.788733272172128,5.916185821636636,5.992266488885106
60,7.66527070744819,7.750357222647376,5.9271350252132295,6.002651298867788
61,7.788012608533399,7.856237995398999,5.845862905987752,5.913477386789626
62,7.671690742948939,7.74611633551209,5.860780469704017,5.931395890938479
63,7.610653415941781,7.686359689160207,5.881891523893485,5.9488935925868525
64,7.681453753363511,7.7467869898385056,5.857604464042718,5.922544576271548
65,7.582166432748726,7.656945649927247,5.889846918067542,5.955905131210479
66,7.577270865862302,7.647463006291571,5.869239650521887,5.93272118430302
67,7.587574166136028,7.6531935559396995,5.821889336170046,5.883658118926105
68,7.820042579447609,7.864663358569937,5.79606249859191,5.849300457652351
69,7.5175534337318926,7.58439758656574,5.810747459976635,5.870383640517321
70,7.489888320971499,7.5593994958202435,5.838686907837587,5.895780246190327
71,7.468387703421757,7.53575578033315,5.872756220304844,5.925255230593818
72,7.412696182098752,7.485112177356564,5.909118729228639,5.951773508750851
73,7.543174227060098,7.599083465347423,5.73731687778966,5.797874109682892
74,7.486457034596914,7.543846143356196,5.770472804208193,5.825505392849758
75,7.456164892118513,7.513306484718746,5.765713048220505,5.818816997256212
76,7.397046958107677,7.459347437077904,5.76077069621912,5.812015107295069
77,7.354926296035948,7.420209686617548,5.8124206231853455,5.856524564103129
78,7.43483269859756,7.489725213087238,5.743574979589637,5.795855520381
79,7.486399786259683,7.535875609303272,5.701056997434359,5.757932299423927
80,7.343970456644895,7.402425220218568,5.759663670874222,5.804314959547014
81,7.469125794277129,7.515181854568747,5.692589798149484,5.748053159251159
82,7.371701621189814,7.4221891251141905,5.730720226962734,5.778279314359279
83,7.276039238198595,7.336534796567151,5.798840774673232,5.831258365110751
84,7.358978954589381,7.410850064714643,5.690274877300381,5.74088650802835
85,7.3108927166621145,7.36637973320309,5.720462699283148,5.766801412290528
86,7.331964617731226,7.3828320149609965,5.695471229337619,5.7427931752173365
87,7.398384050513604,7.442702689617999,5.6594942556216195,5.713597913477753
88,7.362783762895667,7.410295834536311,5.646771393777085,5.700574023852055
